"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008356","GO:0008356","asymmetric cell division","5/1023","19/18860",0.263157894736842,4.85157174461079,4.02252784125226,0.00285606341293201,0.0317661736560708,0.0259982321332629,"ACTR2/ACTR3/ARHGEF2/ASPM/ZBTB16",5
"GO:0046931","GO:0046931","pore complex assembly","5/1023","19/18860",0.263157894736842,4.85157174461079,4.02252784125226,0.00285606341293201,0.0317661736560708,0.0259982321332629,"NDC1/NUP107/NUP205/NUP93/P2RX7",5
"GO:0043279","GO:0043279","response to alkaloid","13/1023","100/18860",0.13,2.39667644183773,3.35363375124579,0.00289536648077194,0.0320680085853564,0.0262452613991246,"BLM/CCNA2/DHX15/HDAC2/HSP90AA1/HTR2A/PTCH1/RAD51/RGS4/SDK1/SLC1A3/TGM2/TRPA1",13
"GO:0060395","GO:0060395","SMAD protein signal transduction","13/1023","100/18860",0.13,2.39667644183773,3.35363375124579,0.00289536648077194,0.0320680085853564,0.0262452613991246,"ATOH8/DKK1/GDF15/GDF5/LRP1/NOG/NUP93/PMEPA1/PML/RBPMS/TGFBR3/TTK/ZMIZ1",13
"GO:0035265","GO:0035265","organ growth","20/1023","187/18860",0.106951871657754,1.9717617785584,3.19823085599898,0.00291973740107012,0.0322701374810098,0.0264106887498322,"ABL1/ACVR2B/BCL2L11/CCNB1/CDK1/COL14A1/DDR2/EVC/FGFR2/FOXP1/HEG1/HLX/NOG/PDLIM5/PIM1/POC1A/RGS2/RGS4/TGFBR3/WWC1",20
"GO:1902895","GO:1902895","positive regulation of miRNA transcription","9/1023","56/18860",0.160714285714286,2.96292417260159,3.52296765941132,0.00297688414550498,0.0328329146759462,0.0268712797014423,"ATOH8/EGR1/FOXO3/GATA2/IL6/KLF4/MYB/SREBF2/TP53",9
"GO:0072110","GO:0072110","glomerular mesangial cell proliferation","4/1023","12/18860",0.333333333333333,6.14532420984034,4.26979449081728,0.00299922777686086,0.0328730329305831,0.0269041134858358,"CFLAR/EGR1/ITGB3/PDGFRB",4
"GO:1900222","GO:1900222","negative regulation of amyloid-beta clearance","4/1023","12/18860",0.333333333333333,6.14532420984034,4.26979449081728,0.00299922777686086,0.0328730329305831,0.0269041134858358,"CYP51A1/HMGCR/IFNGR1/SREBF2",4
"GO:1990918","GO:1990918","double-strand break repair involved in meiotic recombination","4/1023","12/18860",0.333333333333333,6.14532420984034,4.26979449081728,0.00299922777686086,0.0328730329305831,0.0269041134858358,"BRIP1/DMC1/FANCD2/RAD51",4
"GO:0009262","GO:0009262","deoxyribonucleotide metabolic process","8/1023","46/18860",0.173913043478261,3.20625610948192,3.58781889166266,0.00302362007159987,0.0330716286669595,0.0270666492104998,"AK5/DCK/DUT/NUDT15/PNP/RRM1/RRM2/TYMS",8
